file_path,file_name,folder,status,confidence,min_distance,closest_reference,dimensions,file_size_kb,phash
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-020-why-we-need-sleep.png","lesson-020-why-we-need-sleep.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,38.25,111,"head and shoulders without chair.png",1344x768,819.75,918e91ce4e7377388f1c4e739e31c4e34e73858f62311f8ff0314cce9323e18c
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-020-your-five-senses-and-more.png","lesson-020-your-five-senses-and-more.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,29.75,120,"close up of kellys eyes.png",1344x768,759.72,98e338e3cf1e38ccc1c7671cc4e0ff070c78e799008ecf8731cf39c6e0ee0f30
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-021-how-to-disagree-well.png","lesson-021-how-to-disagree-well.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,25.5,124,"close up of face.jpeg",1344x768,706.2,b66611e7b988662eccdc599984731ac9c199cc8e2398f6732ae6f5924a66b5e2
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-019-the-story-in-your-blood.png","lesson-019-the-story-in-your-blood.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,32.75,117,"close up of kellys eyes.png",1344x768,1020.43,d6216d32fc2c3e24ec5a18dce9f8c3f81b8ca7e54a46b58bc86715b3ed311291
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-022-why-we-see-colors.png","lesson-022-why-we-see-colors.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,31.75,118,"Curious Kelly in final pose in Chair - UI elements will go on the side rails - Copy.png",1344x768,876.48,e664c666199966641ce6d99998e3d99823334ccc91999db3e1989d33d99b9933
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-023-patterns-are-everywhere.png","lesson-023-patterns-are-everywhere.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,39.0,111,"profile of kelly.png",1344x768,850.94,e7763d331888470c9ccf988c2733f0c62739f667330c4db9d2c66739dee7200c
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-021-what-makes-things-grow.png","lesson-021-what-makes-things-grow.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,41.75,108,"close up of kellys eyes.png",1344x768,1068.7,c7320cfbd5156e233d8cf2114cd63199ca43dccc2a1d8d4a549d295bdacfac3a
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-022-what-gravity-really-does.png","lesson-022-what-gravity-really-does.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,32.0,118,"profile of kelly.png",1344x768,1060.24,80e76463ab8c538884fe7e739b9c60f15c6b8f0e76e6868d79311e8cf2300dcd
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-023-the-gift-of-boredom.png","lesson-023-the-gift-of-boredom.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",SUSPICIOUS,42.25,107,"head and shoulders without chair.png",1344x768,581.66,fc780fc1078f3878c387e70ec3c3e707c3c0c3c70030fbe3461ec387c78f478e
"C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw\lesson-024-why-humans-tell-stories.png","lesson-024-why-humans-tell-stories.png","C:\Users\user\UI-TARS-desktop\public\kelly\thumbnails\raw",IMPOSTER,30.75,119,"profile of kelly.png",1344x768,717.5,b3333f33a8cc73328cf3d08c8fb38ce679988c6759cc8e5874e6830c4c739ccc
