time_s,rms_db,f0_hz,pitch_conf
3.648,-29.15529,197.13312122062953,0.011422334250709074
3.68,-30.437315,192.63059450929475,0.01019107549696831
3.712,-31.728437,202.90956258890662,0.010000027850262284
3.744,-31.193298,192.63059450929475,0.010052967545965859
3.776,-30.656519,190.41804342135148,0.09203757081218113
3.808,-29.381754,189.3213161937526,0.6159498854580682
3.84,-28.785646,187.14677540918822,0.9459302094659092
3.872,-28.899323,183.93170582347207,0.8911444948731202
3.904,-29.522255,182.87233715141332,0.8911444948731202
3.936,-30.667336,181.8190699939266,0.9459302094659091
3.968,-31.473692,180.77186920887385,0.04768699308253103
4.0,-33.065994,180.77186920887385,0.012403124793551348
4.032,-34.71897,190.41804342135148,0.01001876450976914
4.064,-34.061268,190.41804342135148,0.01002672467381077
4.096,-29.176792,191.5211239251473,0.27960516533635904
4.128,-26.97498,187.14677540918822,0.09203757081218113
4.16,-25.827284,183.93170582347207,0.012403124793551346
4.192,-25.545116,182.87233715141332,0.010259050559778861
4.224,-26.81528,178.6955271983718,0.018187375734912185
4.256,-28.365984,176.64303400994282,0.3233360583906409
4.288,-30.514277,174.61411571650194,0.8266685594724996
4.32,-32.60192,174.61411571650194,0.8266685594724995
4.352,-35.482887,175.62564499846297,0.6860828109301792
4.384,-37.42917,177.66631669600923,0.010073751764217029
4.416,-37.42291,0.0,0.010000005191207802
4.448,-36.954155,0.0,5.032437891062018e-11
4.48,-37.144936,0.0,1.8622478272491432e-10
4.512,-39.54872,0.0,0.01000000037615805
4.544,-43.59962,0.0,0.01000020633903134
4.576,-64.24921,0.0,0.010001232964986118
4.608,-88.73587,0.0,0.010000002871100368
4.64,-89.51824,0.0,0.0100000470079773
4.672,-90.743546,0.0,0.010000000003996623
4.704,-91.466064,0.0,0.01
4.736,-91.74912,0.0,0.01
4.768,-91.62103,0.0,0.01
4.8,-91.34057,0.0,0.01
4.832,-78.09883,244.1052838549259,0.010000000000221913
4.864,-34.548107,214.97519305553408,0.013100262550513397
4.896,-23.264614,218.73289323986043,0.1279370863012904
4.928,-19.685434,217.47308447763714,0.5485250542599845
4.96,-19.112724,217.47308447763714,0.6860828109301791
4.992,-19.221752,217.47308447763714,0.6860828109301792
5.024,-21.047531,217.47308447763714,0.5485250542599844
5.056,-22.048336,244.1052838549259,0.10857977072874497
5.088,-22.52491,244.1052838549259,0.37213589829750887
5.12,-22.290634,244.1052838549259,0.3233360583906408
5.152,-20.981773,242.6993408760242,0.2065067991177522
5.184,-21.26189,217.47308447763714,0.6159498854580681
5.216,-20.153847,211.28204791122093,0.4260623290432809
5.248,-19.465996,208.85526660911424,0.279605165336359
5.28,-19.843662,207.65234878997256,0.17653060863289746
5.312,-21.330307,205.2672581380976,0.4260623290432809
5.344,-23.331451,204.08500572708806,0.42606232904328095
5.376,-25.259445,201.74088950502764,0.06608151270920701
5.408,-25.806677,205.2672581380976,0.030106861794195014
5.44,-24.849232,210.06515286029162,0.07797523762294829
5.472,-23.454954,206.4563592676515,0.48498680771591135
5.504,-22.49468,204.08500572708806,0.686082810930179
5.536,-22.452784,194.86885420251932,0.4260623290432809
5.568,-23.248306,192.63059450929475,0.37213589829750887
5.6,-24.371372,191.5211239251473,0.27960516533635904
